fold,seed,val_loss,accuracy,precision,recall,f1
1,43,0.7810928126176199,0.6666666666666666,0.6,1.0,0.75
2,44,0.47633321086565655,0.8333333333333334,0.75,1.0,0.8571428571428571
3,45,0.5684853593508402,0.6666666666666666,0.6,1.0,0.75
4,46,1.4007475972175598,0.5,0.5,1.0,0.6666666666666666
5,47,0.4909002035856247,0.5,0.5,0.6666666666666666,0.5714285714285714
