metric,mean,std
val_loss,0.7435118367274602,0.38704085627834944
accuracy,0.6333333333333333,0.13944333775567927
precision,0.5900000000000001,0.10246950765959599
recall,0.9333333333333333,0.14907119849998599
f1,0.7190476190476189,0.10667888960580882
