metric,mean,std
val_loss,0.7406501054763794,0.1409089171616165
accuracy,0.5,0.2357022603955158
precision,0.5700000000000001,0.2973026890037977
recall,0.5333333333333333,0.2981423969999719
f1,0.5071428571428571,0.202310912249981
